author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Paing Phyo,1,"We were cycling along PCN and decided to have supper at one of the nearby 24 hrs shops.Found Shake salad and cycled over there but ended up making u-turn as it wasn’t there. Even it was there, it must be inside the condominium.",11 months ago,,https://www.google.com/maps/contrib/104632664667325252758/reviews
Alvin Tandian,3,Location is inside condo. Only residents or visitors is allowed to go in.,2 years ago,,https://www.google.com/maps/contrib/118021755109656950236/reviews
rachel zeng,2,,a year ago,,https://www.google.com/maps/contrib/101275412874807968692/reviews
