author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Samantha,1,Dentist did not resolve the issue for my domestic helper. We waited one month for the appointment but was sent home after 15mins. Subsidized service for domestic helper was not helpful at all. What a waste of our time.,9 months ago,,https://www.google.com/maps/contrib/103518725371870557112/reviews
Pokerist Gege,1,😢,11 months ago,,https://www.google.com/maps/contrib/105117977889428336926/reviews
Peter Tay,5,"Great detail, thanks Admin",4 years ago,,https://www.google.com/maps/contrib/106087412190846010694/reviews
Siti rohayati,5,"I am a household member, I just had my teeth filled here, the service and doctors are very friendly, thank you",2 months ago,,https://www.google.com/maps/contrib/112714073614965468189/reviews
Siti Qom,5,,a year ago,,https://www.google.com/maps/contrib/115110129989222131871/reviews
