author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
NYGIN DEVA JOHN A,2,"One tea 1.70 cents , it's a working people only stay, how can they suffer",5 months ago,,https://www.google.com/maps/contrib/118105544129378212289/reviews
Nittanondo Sadu,5,Good food,a year ago,,https://www.google.com/maps/contrib/103267307152298995761/reviews
rajendrangowtham 05,4,Nice location,3 years ago,,https://www.google.com/maps/contrib/105149423262927909782/reviews
Ismail Hossain,5,,3 years ago,,https://www.google.com/maps/contrib/104156530729718955628/reviews
Siak Juay,1,,6 years ago,,https://www.google.com/maps/contrib/113472402547885259634/reviews
