author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Michelle Yeoh,5,Modern skyscrapers adorn the Science Faculty. The Faculty intersperses with the Medicine Faculty.,9 months ago,,https://www.google.com/maps/contrib/117223891734424870330/reviews
Yeewon Kim,5,,2 months ago,,https://www.google.com/maps/contrib/106812473521242497612/reviews
Jun Guan Yap,5,,a year ago,,https://www.google.com/maps/contrib/113823312981189879035/reviews
Robin Sunny,5,,a year ago,,https://www.google.com/maps/contrib/103358429450417770836/reviews
