author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Samir Kapur,5,Nitin is very helpful! The shop has great range and variety.,a month ago,,https://www.google.com/maps/contrib/113032079521643547506/reviews
Muhammad Firdaus,5,Can buy bubble gum.,3 months ago,,https://www.google.com/maps/contrib/106868471219880237950/reviews
Prākásh K,4,"A mini supermart within Makena Condo.
Has shops split in 3 rooms. Has good stock of many items. Main outlet to make payment is a bit cramped.

Competitive rates at par with marts outside.",4 years ago,,https://www.google.com/maps/contrib/100701124853824028735/reviews
Vijay sharma,3,Little expensive but urgent availability of items,11 months ago,,https://www.google.com/maps/contrib/112690362995480208686/reviews
Nikhil Jagannathan,5,"Nice convenience store, has everything you'd need.",2 years ago,,https://www.google.com/maps/contrib/111821703366715808560/reviews
