author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Pauline Tsung,1,"Booked an appt for my 19 y/o niece today for the first time and was told it’s $88 for the first trial for deep cleaning facial.  My SIL dropped my niece off at the shop and came home telling me it’ll costs $200 instead cos the deep cleaning facial doesn’t clear pimples and oilseeds..  i understand salon do try to upsell their services, but from $88 to $200 and 1st time trial, I think they are just pushing their luck.   I called them back and told them to stick back to the $88.   My niece came back telling me that the experience was not that great.",9 months ago,,https://www.google.com/maps/contrib/116897406093486605767/reviews
Glenn,5,"Excellent ambience and service, quiet and relaxing private rooms. Staff were knowledgable and accommodation. Have been going for regular sessions for years and price point is excellent for the quality received over the years!",5 years ago,,https://www.google.com/maps/contrib/117575893189748357007/reviews
Sharmila Mv,5,"The staffs were very friendly.. clean and not at all pushy on sales.. visited thru fave voucher, good offer..
The beautician explained b4 c started and evey step c told me what c ws doing..

Getting an appointment is so tough for weekends, other than that loved t..",6 years ago,,https://www.google.com/maps/contrib/114029346221942713634/reviews
see ping LOH,5,Attentive and professional! Not too pushy too so it's nice to relax here.,a year ago,,https://www.google.com/maps/contrib/102931470161065740248/reviews
Terence M,4,"Private room with high ceiling and comfortable beds, very relaxing.",7 years ago,,https://www.google.com/maps/contrib/106794170824922174720/reviews
