author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Léx Shie,5,"The atmosphere of the restaurant was warm and welcoming, and the staff was friendly and helpful. I especially liked Staff Aisha!

Food here is also good! Recommend to try out!",a week ago,,https://www.google.com/maps/contrib/115961214367450072010/reviews
shiwei,5,"Food was amazing! Staffs are super duper friendly. Vibe and atmosphere is crazy good.
Recommend eating here!",in the last week,,https://www.google.com/maps/contrib/103473361271429358920/reviews
Jer,5,Ordered kimchi grilled yakitori bowl and earl grey tea. Food tastes great and was delivered promptly with good customer service,a week ago,,https://www.google.com/maps/contrib/115888891793695686842/reviews
Raymark Oriola,5,the service good it nice to eat also the staff her name is aisha i very accomodating,a week ago,,https://www.google.com/maps/contrib/115408663740030740706/reviews
muhammad denifirnadi,5,excellent service & the taste so good,a week ago,,https://www.google.com/maps/contrib/106178243834011151827/reviews
