author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Chwee Tee Chng,5,"We are incredibly fortunate to have worked with a talented architect and a reliable, efficient contractor like Builders Alliance. Their combined efforts have resulted in our beautiful family home. We extend our heartfelt gratitude to Peter (from Builders Alliance) for his patience and responsiveness throughout the process. His wealth of experience and knowledge proved invaluable in overcoming the inevitable challenges we faced.",a year ago,,https://www.google.com/maps/contrib/100754789546092130071/reviews
angela,5,Senior Supervisor Peter is a very accountable builder that respond to requests.,2 weeks ago,,https://www.google.com/maps/contrib/107344692366701830528/reviews
William Ng,5,"Competent and reliable contractors who don’t over-promise and then under-deliver are rare these days, so Builders Alliance is a gem of a company. Meng Teck and Peter are honest, diligent and very experienced professionals who have handled all kinds of complex construction projects for a long time. I have known Peter for over ten years now and he has advised and solved all issues concerning my house, including my current major renovations. They are also a big company with the resource, network and organisation to always deliver on time. They could not come more highly recommended.",a year ago,,https://www.google.com/maps/contrib/116871504040107862706/reviews
Michael Goh,5,Honest and Ethical company. The did a full build of my house and are always responsive to problems and does not shirk away from responsibilities. Will definitely consider them again the next time i build another house,7 months ago,,https://www.google.com/maps/contrib/114388042988101150459/reviews
Wg Quah,5,Very accountable builder that respond to requests. Especially the Senior Supervisor Peter.,a year ago,,https://www.google.com/maps/contrib/104379451557062176939/reviews
