author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Mark Guo,5,Very nice and friendly church.,6 years ago,,https://www.google.com/maps/contrib/103897865017279620111/reviews
kelly station kelly,4,,2 weeks ago,,https://www.google.com/maps/contrib/111142901488767299026/reviews
advan 113,5,,6 years ago,,https://www.google.com/maps/contrib/111920011876108583490/reviews
Ernest Tan,5,,6 years ago,,https://www.google.com/maps/contrib/112168659500560913335/reviews
