author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
SalesDept CJ,5,,a month ago,,https://www.google.com/maps/contrib/112041793884871209922/reviews
Customer Care OM,5,,a month ago,,https://www.google.com/maps/contrib/108535688391654369838/reviews
invesco cj,5,,a month ago,,https://www.google.com/maps/contrib/115660324188213946433/reviews
OPTIMUS MEDINI SB,5,,a month ago,,https://www.google.com/maps/contrib/111904766339293874329/reviews
optimus medini,5,,a month ago,,https://www.google.com/maps/contrib/105780783168794764736/reviews
