author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Leon Yap,5,"i have been having my haircut since i was young.
for more than 15 years here.
very customer orientated.",4 months ago,,https://www.google.com/maps/contrib/105190609056195184132/reviews
Wan Zahid,5,,4 years ago,,https://www.google.com/maps/contrib/116665973056680551614/reviews
