author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Rajesh J,5,"🌟 A Taste of Home at Kumari’s VEETU BIRYANI 🌟

If you're craving authentic, homemade biryani in Singapore, look no further than Kumari’s VEETU BIRYANI. This gem of a place serves the best mutton biryani we've ever had here, transporting us straight to the streets of Chennai with every bite.

The mutton biryani is a masterpiece – the meat is cooked to perfection, tender and flavorful, while the biryani itself is light and aromatic, with spices balanced just right. It's so good, you'll find yourself going back for seconds (or thirds!).

But the delights don't stop there. The fish fry that accompanies the biryani is simply outstanding, crispy on the outside and juicy on the inside. And don't even get me started on the bread halwa – it's perfectly sweetened, making for a delightful end to the meal. The brinjal gravy is a perfect match for the biryani, adding an extra layer of flavor that ties everything together beautifully.

What truly sets Kumari’s VEETU BIRYANI apart is their commitment to quality and service. The food is always on time and served with a smile, making every dining experience a pleasure. And the best part? It's all budget-friendly, so you can enjoy a feast without breaking the bank.

I wholeheartedly recommend Kumari’s VEETU BIRYANI to anyone looking for a taste of home. Trust me, once you try it, you'll be a repeat customer just like me!",5 months ago,,https://www.google.com/maps/contrib/116132360046537990764/reviews
Flo Yeow,4,"This home-cooked dum biryani truly hits the spot! Made with a recipe from Chennai, it's the kind of comforting and flavorful meal that's perfect for enjoying at home.

Both the mutton and chicken biryani options are authentically prepared, with a fragrant blend of spices that will transport you straight to India. The accompanying brinjal curry, onion raita, and bread halwa complete the experience beautifully, making for a satisfying and well-rounded meal. Even the Chicken 65 included in the combo was delicious.

However, while the food itself is wonderful, the overall experience falls short of a 5-star rating, particularly if you're opting for self-collection. The pick-up location is a bit out of the way, and their limited menu and logistical setup can be inconvenient. While I understand they're operating as a home-based business, the hassle involved in getting the food doesn't quite justify the price, even for authentic biryani.",4 months ago,,https://www.google.com/maps/contrib/101597484841229205770/reviews
Carl Jon,5,"This is my 2nd time buying from this home based seller. And as a foodie i must say this, their biryani is one of the best i’ve had. This time round i got the chicken biryani combo. It was good and above my expectations, however I still prefer their mutton option. Then again i prefer mutton biryani to chicken so my opinion may be biased. But take the chance and give them a shot. Its worth it.",7 months ago,,https://www.google.com/maps/contrib/112143363314779316826/reviews
vinmathi kannan,5,"I recently tried Biryani from @Kumari's VEETU BIRYANI, and I’m thrilled to share my experience!

The biryani itself was a feast for the senses! Each bite was bursting with flavor, and the tender meat paired perfectly with the fragrant rice. I also loved how the spices were balanced; it was flavorful without being overwhelming.

I decided to try a couple of side dishes, and they did not disappoint. The raita was incredibly refreshing, complementing the biryani beautifully, while the crispy Chicken 65 were the perfect appetizer – which is tasty as like made in home.

What really stood out was the presentation – the dish was vibrant and colorful, topped with fresh herbs that added a lovely touch. The portion sizes were generous, making it excellent value for money.

If you're a biryani lover or just looking to try something new, I highly recommend @Kumari's VEETU BIRYANI. I can’t wait to return for another delicious meal!

Overall, @Kumari's VEETU BIRYANI exceeded my expectations!",6 months ago,,https://www.google.com/maps/contrib/106979275740438407679/reviews
CL Teo,5,Chanced upon Kumari's one night before my errands' day near his area & decided to try my luck to check if he still had available set for purchase. Bless him to accommodate to my last min request. So swift in his replies & didn't had to place deposit for the order. My mum picked up the Chicken 65 from my lunch & said it was delicious too! Can't thank you enough & the everything was definitely soooo good! Will be back to try mutton 😁,5 months ago,,https://www.google.com/maps/contrib/102535170759412154877/reviews
