author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
Doreen Luah,5,"My favourite Korean restaurant in the Northeast region of Singapore serving the nicest authentic Korean comfort food. Their restaurant is always fully packed during lunch or dinner. They recently have set meals menu on weekend too. Please avoid their break time from 3-5pm, last order at 2.30pm.

It’s a hot day today therefore I craved for cold buckwheat noodles soup.

My hubby and I had cold buckwheat noodles soup with beef and my girls had Kimchi Ramyeon Soup Set and Jjajiangmyeon Set that includes a drink and a side.

Verdict: 👍🏻👍🏻👍🏻👍🏻
Comments: Everything was so good that we finished all the food fast. Their bonchon was homemade with love. Their barley drink was refreshing. ☺️",a year ago,,https://www.google.com/maps/contrib/115013917741354521755/reviews
David Tsai,5,"Our usual hangout would be Teochew porridge nearby on PH, decided to drive here n park nearby. We are early diners and also we love love Korean food, honestly the food here is amazing and the sets we tried were really reasonable, and service great too. Will definitely come back soon. The free side dishes are refillable, n generous too. The kimchi is the star here, goes well with steamed rice.",a year ago,,https://www.google.com/maps/contrib/110639038054616025575/reviews
Sha M,5,"If you're looking for Korean food around the area, this would be a great place to get your authentic Korean fix. It's always crowded during dinner time, so try to come before 6pm. Been coming here a few times already & the food never disappoints. Their menu has changed recently & they now have set meals which look interesting.",a year ago,,https://www.google.com/maps/contrib/109951020749464689457/reviews
SS,1,"Horrible experience, saddest Korean meal we had! Really a scam👎
Went there for the first time with my family of three. Photos of food displayed outside the restaurant look nice and price seems reasonable.
The Kimchi Stew set we ordered comes with 2dumplings. The Kimchi Stew was served with the rice first, then the dumplings came 20mins later. Portions of ALL THE FOOD we ordered were surprisingly small, like “kids-meal” size. All the food weren’t served together, we have long-waits in between servings. Waiters avoided eye contact with us as the restaurant was quite full during dinner time. Barley Tea tasted like they’ve been diluted 10 times! Overall an extremely bad experience! Food portion is pathetically small and is very pricey! Service is slow and bad and most importantly, food taste horrible & not authentic.
We left the restaurant feeling unhappy and hungry still :( Would not go back & definitely won’t recommend.",11 months ago,,https://www.google.com/maps/contrib/106006553023288414360/reviews
Rachel Chua,3,"I havent been to Hansik many times, with each visit a few years apart. But I have craved for the food many times.

Price is pretty pricey, increasing significantly over the years so each visit shocks me when I look at the menu.

Food quality probably hasn't been the same, with it dropping amidst the increasing costs. However, it is still the home-liest Korean food, hence my occasional cravings. Not sure if they cut down on the variety of side dishes but I wasn't allowed to request for other sides.

Service-wise, nothing to wow about. Staff weren't smiley or cheerful, just a typical work-day for them I suppose. Not a place to expect top notch service. But they do serve the correct food and that's good enough.

Overall, it's not the best place for daily meals, but it's great if you want homely Korean food.",11 months ago,,https://www.google.com/maps/contrib/114281194157296907385/reviews
