author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
averruncushd,5,Great centre of learning and education! Opening hours might be too little.,2 years ago,,https://www.google.com/maps/contrib/117928254070559379778/reviews
raj deva,4,Very near to Koufu/ Canteen B. Easy to grab food during breaks,7 years ago,,https://www.google.com/maps/contrib/110360611041963322788/reviews
李勋法,5,Nice,2 years ago,,https://www.google.com/maps/contrib/106471360184904409220/reviews
Yusuf Odin,5,Show some love for Tang Wee Kee here,7 years ago,,https://www.google.com/maps/contrib/116189225417757141747/reviews
Kee Choon Wee,4,Scenic campus with many food choices,4 years ago,,https://www.google.com/maps/contrib/105511864337001438118/reviews
