author_name,rating,text,relative_time_description,reviewer_total_reviews,reviewer_profile_url
yongfoo chau,3,Only for construction,2 years ago,,https://www.google.com/maps/contrib/112078006746913714003/reviews
Mamunur Rahman,5,Very good,5 months ago,,https://www.google.com/maps/contrib/114412854022329111256/reviews
Durai Arasan,5,Good 👍,a year ago,,https://www.google.com/maps/contrib/107370664792732792815/reviews
BS Mahedi Hasan vlogs,4,Good,a year ago,,https://www.google.com/maps/contrib/102585943925786178989/reviews
Moniruzzaman Hossain,5,,6 years ago,,https://www.google.com/maps/contrib/104545000171612846319/reviews
